Arrangement,DRRMH-H-07 1/7,Description,Serial Number,Inventory Item Number,PAR/ICS Number,UPM Property Number,DOST Property Number,DOST-UPM PTR Number,UPS-UPM PTR Number,Specific Location,Remarks
42,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Blue),,,NIH2020-46,NIH-52 36/50,DOST GIA-23-2315-23,,,Stock Room,
43,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Blue),,,NIH2020-46,NIH-52 37/50,DOST GIA-23-2315-26,,,Stock Room,
44,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Blue)*,,,,NIH-52 38/50,DOST GIA-23-2315,,,Stock Room,
45,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Blue),,,NIH2020-46,NIH-52 38/50,DOST GIA-33-3315-28,,,Stock Room,
46,NICER Project: Simulation-based Learning Laboratory,Hard Hat,,,NIH2020-46,NIH-52 39/50,,,,Stock Room,
47,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Blue),,,NIH2020-46,NIH-52 40/50,DOST GIA-23-2315-42,,,Stock Room,
48,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Blue),,,NIH2020-46,NIH-52 41/50,DOST GIA-23-231544,,,Stock Room,
49,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Blue),,,NIH2020-46,NIH-52 42/50,DOST GIA-23-2315-40,,,Stock Room,
50,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Orange)*,,,,NIH-52 43-50,DOST GIA-23-2315-35,,,Stock Room,
51,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Orange),,,NIH2020-46,NIH-52 43/50,DOST GIA-23-2315-39,,,Stock Room,
52,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Orange),,,NIH2020-46,NIH-52 44/50,DOST GIA-23-2315-38,,,Stock Room,
53,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Orange),,,NIH2020-46,NIH-52 45/50,DOST GIA-23-2315-34,,,Stock Room,
54,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Orange),,,NIH2020-46,NIH-52 46/50,DOST GIA-23-2315-33,,,Stock Room,
55,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Orange),,,NIH2020-46,NIH-52 47/50,DOST GIA-23-2315-36,,,Stock Room,
56,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Orange),,,NIH2020-46,NIH-52 48/50,DOST-GIA-23-2315-37,,,Stock Room,
57,NICER Project: Simulation-based Learning Laboratory,Hard Hat,,,NIH2020-46,NIH-52 49/50,,,,Stock Room,
58,NICER Project: Simulation-based Learning Laboratory,Hard Hat (Orange),,,NIH2020-46,NIH-52 50/50,DOST GIA-23-2315-41,,,Stock Room,
59,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 1/150,,,,Stock Room,
60,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 2/150,,,,Stock Room,
61,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 3/150,,,,Stock Room,
62,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05  4/150,,,,Stock Room,
63,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 5/150,,,,Stock Room,
64,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 6/150,,,,Stock Room,
65,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 7/150,,,,Stock Room,
66,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 8/150,,,,Stock Room,
67,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 9/150,,,,Stock Room,
68,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05  10/150,,,,Stock Room,
69,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 11/150,,,,Stock Room,
70,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 12/150,,,,Stock Room,
71,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 13/150,,,,Stock Room,
72,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 14/150,,,,Stock Room,
73,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 15/150,,,,Stock Room,
74,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 16/150,,,,Stock Room,
75,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 17/150,,,,Stock Room,
76,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 18/150,,,,Stock Room,
77,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 19/150,,,,Stock Room,
78,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 20/150,,,,Stock Room,
